time_s,fx_n,fy_n,fz_n,mx_nm,my_nm,mz_nm
0.010240,0.080000,0.060000,0.160000,0.000000,0.000000,0.000000
0.020668,0.020000,0.040000,0.000000,0.000000,0.000000,0.000000
0.040602,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.060706,0.020000,0.080000,0.100000,0.000000,0.000000,0.000000
0.080653,0.020000,0.060000,0.060000,0.000000,0.000000,0.000000
0.100608,0.040000,0.020000,0.000000,0.000000,0.000000,0.000000
0.120684,0.100000,-0.040000,0.080000,0.000000,0.000000,0.000000
0.140798,0.120000,0.000000,0.040000,0.000000,0.000000,0.000000
0.160740,0.100000,-0.040000,0.120000,0.000000,0.000000,0.000000
0.180573,-0.020000,0.040000,0.180000,0.000000,0.000000,0.000000
0.200649,0.100000,0.060000,0.060000,0.000000,0.000000,0.000000
0.220601,0.180000,0.060000,-0.040000,0.000000,0.000000,0.000000
0.240671,0.160000,0.040000,0.020000,0.000000,0.000000,0.000000
0.260653,0.240000,0.080000,0.000000,0.000000,0.020000,0.000000
0.280605,0.120000,-0.040000,0.100000,0.000000,0.000000,0.000000
0.300554,0.040000,0.040000,0.180000,0.000000,0.000000,0.000000
0.320630,0.080000,0.000000,0.000000,0.000000,0.000000,0.000000
0.340614,0.040000,-0.080000,0.180000,0.000000,0.000000,0.000000
0.360545,0.280000,-0.020000,0.000000,0.000000,0.020000,0.000000
0.380651,0.140000,0.020000,0.180000,0.000000,0.000000,0.000000
0.400771,0.120000,0.060000,0.080000,0.000000,0.000000,0.000000
0.420732,0.100000,0.000000,0.060000,0.000000,0.000000,0.000000
0.440630,0.160000,-0.020000,0.000000,0.000000,0.000000,0.000000
0.460610,0.180000,0.080000,0.000000,0.000000,0.000000,0.000000
0.480667,0.080000,0.040000,0.080000,0.000000,0.000000,0.000000
0.500638,0.140000,0.000000,0.180000,0.000000,0.000000,0.000000
0.520709,0.180000,0.020000,-0.140000,0.000000,0.020000,0.000000
0.540666,0.140000,-0.060000,0.220000,0.000000,0.000000,0.000000
