time_s,fx_n,fy_n,fz_n,mx_nm,my_nm,mz_nm,fx_n_filtered,fy_n_filtered,fz_n_filtered,mx_nm_filtered,my_nm_filtered,mz_nm_filtered,mass_g,stable_mass_g
0.010240,0.080000,0.060000,0.160000,0.000000,0.000000,0.000000,0.080000,0.060000,0.160000,0.000000,0.000000,0.000000,16.315,
0.020668,0.020000,0.040000,0.000000,0.000000,0.000000,0.000000,0.074000,0.058000,0.144000,0.000000,0.000000,0.000000,14.684,
0.040602,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.066600,0.052200,0.129600,0.000000,0.000000,0.000000,13.216,
0.060706,0.020000,0.080000,0.100000,0.000000,0.000000,0.000000,0.061940,0.054980,0.126640,0.000000,0.000000,0.000000,12.914,
0.080653,0.020000,0.060000,0.060000,0.000000,0.000000,0.000000,0.057746,0.055482,0.119976,0.000000,0.000000,0.000000,12.234,
0.100608,0.040000,0.020000,0.000000,0.000000,0.000000,0.000000,0.055971,0.051934,0.107978,0.000000,0.000000,0.000000,11.011,
0.120684,0.100000,-0.040000,0.080000,0.000000,0.000000,0.000000,0.060374,0.042740,0.105181,0.000000,0.000000,0.000000,10.725,
0.140798,0.120000,0.000000,0.040000,0.000000,0.000000,0.000000,0.066337,0.038466,0.098663,0.000000,0.000000,0.000000,10.061,
0.160740,0.100000,-0.040000,0.120000,0.000000,0.000000,0.000000,0.069703,0.030620,0.100796,0.000000,0.000000,0.000000,10.278,
0.180573,-0.020000,0.040000,0.180000,0.000000,0.000000,0.000000,0.060733,0.031558,0.108717,0.000000,0.000000,0.000000,11.086,
0.200649,0.100000,0.060000,0.060000,0.000000,0.000000,0.000000,0.064660,0.034402,0.103845,0.000000,0.000000,0.000000,10.589,
0.220601,0.180000,0.060000,-0.040000,0.000000,0.000000,0.000000,0.076194,0.036962,0.089460,0.000000,0.000000,0.000000,9.122,
0.240671,0.160000,0.040000,0.020000,0.000000,0.000000,0.000000,0.084574,0.037266,0.082514,0.000000,0.000000,0.000000,8.414,
0.260653,0.240000,0.080000,0.000000,0.000000,0.020000,0.000000,0.100117,0.041539,0.074263,0.000000,0.002000,0.000000,7.573,
0.280605,0.120000,-0.040000,0.100000,0.000000,0.000000,0.000000,0.102105,0.033385,0.076837,0.000000,0.001800,0.000000,7.835,
0.300554,0.040000,0.040000,0.180000,0.000000,0.000000,0.000000,0.095895,0.034047,0.087153,0.000000,0.001620,0.000000,8.887,
0.320630,0.080000,0.000000,0.000000,0.000000,0.000000,0.000000,0.094305,0.030642,0.078438,0.000000,0.001458,0.000000,7.998,
0.340614,0.040000,-0.080000,0.180000,0.000000,0.000000,0.000000,0.088875,0.019578,0.088594,0.000000,0.001312,0.000000,9.034,
0.360545,0.280000,-0.020000,0.000000,0.000000,0.020000,0.000000,0.107987,0.015620,0.079735,0.000000,0.003181,0.000000,8.131,
0.380651,0.140000,0.020000,0.180000,0.000000,0.000000,0.000000,0.111188,0.016058,0.089761,0.000000,0.002863,0.000000,9.153,
0.400771,0.120000,0.060000,0.080000,0.000000,0.000000,0.000000,0.112070,0.020452,0.088785,0.000000,0.002577,0.000000,9.054,
0.420732,0.100000,0.000000,0.060000,0.000000,0.000000,0.000000,0.110863,0.018407,0.085906,0.000000,0.002319,0.000000,8.760,
